file_name,strategy,splits,backtracks,clauses,variables,givens,unit_rule,pure_rule,execution_time
cnf/sudoku/top870.sdk.txt/786.txt,Grab First,12,9,12013,729,25,22,22,1.0646297931671143
cnf/sudoku/top870.sdk.txt/22.txt,Grab First,152,150,12012,729,24,303,303,3.0715222358703613
cnf/sudoku/top870.sdk.txt/61.txt,Grab First,90,84,12009,729,21,175,175,2.694201707839966
cnf/sudoku/top870.sdk.txt/327.txt,Grab First,101,100,12012,729,24,202,202,2.8826546669006348
cnf/sudoku/top870.sdk.txt/237.txt,Grab First,40,40,12011,729,23,81,81,1.4214110374450684
cnf/sudoku/top870.sdk.txt/78.txt,Grab First,162,152,12005,729,17,315,315,3.297569751739502
cnf/sudoku/top870.sdk.txt/869.txt,Grab First,70,67,12005,729,17,138,138,2.410148859024048
cnf/sudoku/top870.sdk.txt/771.txt,Grab First,7,3,12011,729,23,11,11,1.035858154296875
cnf/sudoku/top870.sdk.txt/368.txt,Grab First,191,187,12011,729,23,379,379,3.917362928390503
cnf/sudoku/top870.sdk.txt/693.txt,Grab First,22,16,12011,729,23,39,39,1.2742609977722168
cnf/sudoku/top870.sdk.txt/826.txt,Grab First,5,1,12012,729,24,7,7,0.9849350452423096
cnf/sudoku/top870.sdk.txt/596.txt,Grab First,12,7,12011,729,23,20,20,1.0379095077514648
cnf/sudoku/top870.sdk.txt/328.txt,Grab First,20,18,12013,729,25,39,39,1.1750109195709229
cnf/sudoku/top870.sdk.txt/673.txt,Grab First,29,27,12011,729,23,57,57,1.3991038799285889
cnf/sudoku/top870.sdk.txt/131.txt,Grab First,75,64,12005,729,17,140,140,2.0994603633880615
cnf/sudoku/top870.sdk.txt/447.txt,Grab First,1,0,12012,729,24,2,2,0.9944820404052734
cnf/sudoku/top870.sdk.txt/461.txt,Grab First,68,63,12013,729,25,132,132,1.7851479053497314
cnf/sudoku/top870.sdk.txt/395.txt,Grab First,41,41,12009,729,21,83,83,1.887810230255127
cnf/sudoku/top870.sdk.txt/200.txt,Grab First,68,68,12013,729,25,137,137,1.9508910179138184
cnf/sudoku/top870.sdk.txt/434.txt,Grab First,46,38,12012,729,24,85,85,1.744323968887329
cnf/sudoku/top870.sdk.txt/35.txt,Grab First,740,728,12005,729,17,1469,1469,15.703667402267456
cnf/sudoku/top870.sdk.txt/845.txt,Grab First,3,1,12012,729,24,5,5,1.0162668228149414
cnf/sudoku/top870.sdk.txt/481.txt,Grab First,12,9,12010,729,22,22,22,1.180572271347046
cnf/sudoku/top870.sdk.txt/298.txt,Grab First,84,82,12010,729,22,167,167,2.5482864379882812
cnf/sudoku/top870.sdk.txt/106.txt,Grab First,27,24,12009,729,21,52,52,1.4474411010742188
cnf/sudoku/top870.sdk.txt/57.txt,Grab First,41,39,12012,729,24,81,81,1.862363576889038
cnf/sudoku/top870.sdk.txt/398.txt,Grab First,11,4,12010,729,22,16,16,1.0951294898986816
cnf/sudoku/top870.sdk.txt/617.txt,Grab First,26,19,12014,729,26,46,46,1.3492405414581299
cnf/sudoku/top870.sdk.txt/666.txt,Grab First,47,42,12010,729,22,90,90,1.7824745178222656
cnf/sudoku/top870.sdk.txt/226.txt,Grab First,147,146,12009,729,21,294,294,3.6051735877990723
cnf/sudoku/top870.sdk.txt/835.txt,Grab First,12,9,12010,729,22,22,22,1.1275532245635986
cnf/sudoku/top870.sdk.txt/14.txt,Grab First,357,354,12005,729,17,712,712,8.422255754470825
cnf/sudoku/top870.sdk.txt/85.txt,Grab First,129,122,12011,729,23,252,252,2.9182963371276855
cnf/sudoku/top870.sdk.txt/442.txt,Grab First,3,1,12005,729,17,5,5,1.0359337329864502
cnf/sudoku/top870.sdk.txt/10.txt,Grab First,28,24,12013,729,25,53,53,1.5150630474090576
cnf/sudoku/top870.sdk.txt/615.txt,Grab First,17,15,12011,729,23,33,33,1.1882426738739014
cnf/sudoku/top870.sdk.txt/751.txt,Grab First,48,47,12009,729,21,96,96,1.504303216934204
cnf/sudoku/top870.sdk.txt/823.txt,Grab First,8,3,12009,729,21,12,12,1.0449950695037842
cnf/sudoku/top870.sdk.txt/146.txt,Grab First,11,8,12005,729,17,20,20,1.0091233253479004
